"H","diameter","albedo","e","a","q","i","om","w","ma","ad","n","per_y","data_arc","n_obs_used"
16.47,3.387,0.037,0.125578596351303,3.00552520931379,2.62809557222971,17.2771657254886,215.663769465523,53.5293228233897,336.794237349275,3.38295484639788,0.189157476401117,5.21061235389655,7635,191
17.55,1.922,0.033,0.470861538233552,3.3020779536742,1.74725644904007,29.769276814313,227.810218018536,267.214755580485,11.0729941500323,4.85689945830833,0.164256699264895,6.00052410512675,4440,142
11.84,26.312,0.071,0.126631850736906,3.2134458210638,2.80652122949972,2.48935563468316,121.502740771062,114.253160948307,332.572611132949,3.62037041262789,0.171099051021445,5.76055961434888,33197,5782
15.83,3.579,0.08,0.255261729734079,2.59376483295183,1.93167593516912,6.3089291266084,72.9595576349968,242.374464667934,205.867225907919,3.25585373073454,0.23594358688437,4.17738111208162,10609,925
15.32,4.149,0.078,0.16391701771993,3.01994344777445,2.52492332413242,14.2091421313321,314.175721027941,357.670639553724,158.146421515326,3.51496357141648,0.187804441269285,5.2481521560734,8132,686
14.85,6.413,0.075,0.193608980720054,2.62738586051529,2.11870036210264,13.4592712656734,164.880725212725,304.992617788688,218.265234645386,3.13607135892793,0.23142927045616,4.2588661383447,10983,3705
15.52,2.343,0.294,0.181428691713265,2.1794670582829,1.78404920126648,4.74896933424989,346.091016903321,0.538492991060821,148.513566729809,2.57488491529933,0.306322297061246,3.21761194932045,19148,2506
14.88,4.506,0.138,0.0263158083968846,2.92460416028871,2.84764083756982,8.79424824087656,264.214672373476,342.227977276221,320.408977609168,3.0015674830076,0.197062248453578,5.00159868824263,9595,1138
12.2,21.531,0.06,0.0321592397650213,5.23589093103652,5.06750865920182,21.1362765559918,282.828257310365,60.7400436964797,215.185908751262,5.40427320287122,0.0822655843869586,11.9810281627782,9159,1580
14.1,4.806,0.231,0.0386190249116411,3.23880590407607,3.11372637818259,8.86349407277628,18.7111864753154,273.914960660489,247.290598020805,3.36388542996956,0.169093413152505,5.82888632378969,9330,1886
15.8,3.744,0.06,0.195980613033909,3.22166256554378,2.59027916096012,13.7695128717103,253.685936849676,346.633458045006,285.341693038441,3.85304597012745,0.170444894807628,5.78266826049544,7976,239
15.22,3.323,0.231,0.0979627344011625,2.69033659693387,2.42678386743871,15.6161991071621,84.473718505856,243.607137509949,212.180122290624,2.95388932642903,0.223354210958836,4.41283949443518,9483,1529
15.47,2.092,0.368,0.197978693105625,2.54206603975465,2.03879112741583,4.23291468586349,57.6127059910296,23.0197343096185,281.785529153825,3.04534095209347,0.243177747119294,4.05311051296171,15140,2326
14.21,5.867,0.141,0.0539723046282184,3.06100024659364,2.89579100881744,9.52736369568489,349.195710880559,45.4014975088991,147.889649549935,3.22620948436985,0.184038644976856,5.35553977530917,12602,2249
16.08,3.511,0.075,0.307336552390146,2.68097195865286,1.85701127982584,28.5726276047738,35.4626629175304,59.0432455128124,317.326324125521,3.50493263747989,0.224525497090649,4.3898189565955,8131,464
16.95,3.173,0.033,0.26193857087448,2.72305240223364,2.00977994757624,14.4734197917334,109.806484245174,122.89215338325,253.474997343923,3.43632485689104,0.219341129460202,4.49357713162679,7541,280
14.77,3.045,0.363,0.181723105560062,2.47293183599481,2.02354298291949,13.8718048273784,346.419404876351,271.463474860322,4.09407004704935,2.92232068907014,0.253446241658381,3.88889682055762,10272,2940
